I,Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,IP Rating,Product,Contact Gender,Termination Style,UID
0,651-1404642,1404642,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1404642-1405531.pdf,656  In Stock,$33.09,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1404642?qs=sGAEpiMZZMvwyOPDUMfDH%252BP0RmVupIFlTuVPXQVor5I%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1404642&utm_content=Phoenix-Contact,IP67,Connectors,Socket (Female),Screw,1
1,654-MB7CKN0900-S1,MB7CKN0900-S1,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/MB7CKN0900-S1.pdf,89  In Stock,$25.36,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/MB7CKN0900-S1?qs=sGAEpiMZZMvwyOPDUMfDH5%252BOveMIjk8pDkm6Ik9jH%252BAOeyHvMmLKww%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MB7CKN0900-S1&utm_content=Amphenol-SINE-Systems,IP67,Connectors,Without Socket Contacts,Crimp,2
2,523-T3636-001,T 3636 001,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/T3636001.pdf,221  In Stock,$20.70,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/T-3636-001?qs=sGAEpiMZZMvwyOPDUMfDH0lXB3%252BfU%2FRN8ayieTzqECc%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T%203636%20001&utm_content=Amphenol-Tuchel,IP40,Connectors,Socket (Female),Solder,3
3,571-5-2271137-2,5-2271137-2,TE Connectivity,https://www.mouser.com/datasheet/2/418/7/ENG_CD_2271137_A4-2030961.pdf,93  In Stock,$37.10,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/5-2271137-2?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqWQMfqnQZ6LWDnDYdleKVDKw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=5-2271137-2&utm_content=TE-Connectivity,IP68,Connectors,Socket (Female),Solder,4
4,651-1441970,1441970,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1441970-1413264.pdf,788  In Stock,$30.77,RoHS Compliant,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1441970?qs=sGAEpiMZZMvwyOPDUMfDH%252BEbIU3kevszRD%252Bhw899E%252BQ%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1441970&utm_content=Phoenix-Contact,IP67,Inserts,Socket (Female),Through Hole,5
5,523-C01620D00320012,C016 20D003 200 12,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C01620D00320012.pdf,315  In Stock,$20.53,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C016-20D003-200-12?qs=sGAEpiMZZMvwyOPDUMfDH5TYMBqtWfjJYFq89Cgzjco%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C016%2020D003%20200%2012&utm_content=Amphenol-Tuchel,IP67,Connectors,Socket (Female),Screw,6
6,523-C09111D0080024U,C09111D0080024U,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C09111D0080024.pdf,264  In Stock,$13.17,,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C09111D0080024U?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqW9lO4cZ7SQjyKKJRe8BDpgg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C09111D0080024U&utm_content=Amphenol-Tuchel,IP68,Connectors,Socket (Female),-,7
7,654-RT0W7106PNH,RT0W7106PNH,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/RT0W7106PNH.pdf,113  In Stock,$15.22,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/RT0W7106PNH?qs=sGAEpiMZZMvwyOPDUMfDHymA71%252BBL1WC6XkN8uFIIw4%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RT0W7106PNH&utm_content=Amphenol-SINE-Systems,IP67,Connectors,Socket (Female),-,8
8,523-T3638-000,T 3638 000,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/T3638000.pdf,149  In Stock,$17.64,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/T-3638-000?qs=sGAEpiMZZMvwyOPDUMfDH0lXB3%252BfU%2FRNiqouWkK4sSI%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T%203638%20000&utm_content=Amphenol-Tuchel,IP40,Connectors,Socket (Female),Solder,9
9,654-RT00104SNH,RT00104SNH,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/RT00104SNH.pdf,493  In Stock,$9.18,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/RT00104SNH?qs=sGAEpiMZZMvwyOPDUMfDH6gohQ6UyzZk9gy1zKPp6jE%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RT00104SNH&utm_content=Amphenol-SINE-Systems,IP67,Connectors,Socket (Female),-,10
10,651-1613325,1613325,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1613325-1422125.pdf,53  In Stock,$37.84,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1613325?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqWJ07v6BaTZcvUw0fjCvE8Wg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1613325&utm_content=Phoenix-Contact,IP67,Connectors,Socket (Female),Crimp,11
11,571-T4111002081-000,T4111002081-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T411100XXXX000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4111002081-000&DocFormat=pdf,"3,041  In Stock",$11.52,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4111002081-000?qs=sGAEpiMZZMvwyOPDUMfDH5%252BOveMIjk8puAeWh9omReLR%252B4vZH8Q1oQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4111002081-000&utm_content=TE-Connectivity,IP67,Connectors,Pin (Male),Screw,12
12,571-T4072014031-001,T4072014031-001,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T40520140X100X&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4072014031-001&DocFormat=pdf,809  In Stock,$7.18,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4072014031-001?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4Def2w6SIjb4GYIB3TZpPOQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4072014031-001&utm_content=TE-Connectivity,IP67,Connectors,Pin (Male),Wire,13
13,177-PX0748/P,PX0748/P,Bulgin,https://www.mouser.com/datasheet/2/57/Standard_power-1519027.pdf,507  In Stock,$21.56,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bulgin/PX0748-P?qs=sGAEpiMZZMvwyOPDUMfDH8yQxyHvpfgBDj0uptfnZhg%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PX0748%2FP&utm_content=Bulgin,IP68,Connectors,Pin (Male),Screw,14
14,523-C01610C0080001,C016-10C008-000-1,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C01610C0080001.pdf,175  In Stock,$15.46,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C016-10C008-000-1?qs=sGAEpiMZZMvwyOPDUMfDHw5w5qA8B%252BKM1%2FSQCJNTCvA%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C016-10C008-000-1&utm_content=Amphenol-Tuchel,IP65,Connectors,Pin (Male),Crimp,15
15,538-120076-8035,120076-8035,Molex,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/120/120076/1200768035_sd.pdf,191  In Stock,$11.89,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Molex/120076-8035?qs=sGAEpiMZZMvwyOPDUMfDH1nwc6B6Jyb%252Bn7Zu0P1%2F51ByPgXyfshEjA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=120076-8035&utm_content=Molex,IP67,Connectors,Pin (Male),Solder,16
16,654-VENT-MS1NMSO8001,VENT-MS1NMS-O8001,Amphenol LTW,https://www.mouser.com/datasheet/2/18/1/VENT-MS1NMS-O8001-1375413.pdf,"5,432  In Stock",$9.17,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-LTW/VENT-MS1NMS-O8001?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4ltlQU4u8ZXCKYEEg3aAcrw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VENT-MS1NMS-O8001&utm_content=Amphenol-LTW,IP68,Accessories,,-,17
17,523-T3303-000,T 3303 000,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/T3303000.pdf,"1,647  In Stock",$8.58,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/T-3303-000?qs=sGAEpiMZZMvwyOPDUMfDH0lXB3%252BfU%2FRNcixbVLU%252BU1c%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T%203303%20000&utm_content=Amphenol-Tuchel,IP40,Connectors,Socket (Female),Crimp / Solder,18
18,654-RTS016N26S03,RTS016N26S03,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/RTS016N26S03.pdf,"1,071  In Stock",$11.33,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/RTS016N26S03?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4L%252BQEukculMI%252BYSBg92b8%2Fw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RTS016N26S03&utm_content=Amphenol-SINE-Systems,IP67,Connectors,Without Socket Contacts,Crimp,19
19,538-120091-0001,120091-0001,Molex,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/120/120091/1200910001_sd.pdf,104  In Stock,$28.52,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Molex/120091-0001?qs=sGAEpiMZZMvwyOPDUMfDH4q%2Ft4jcW%2FfQFyfGPo%252BVynQ%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=120091-0001&utm_content=Molex,IP67,Connectors,Socket (Female),Solder,20
20,654-MA1CAE1200,MA1CAE1200,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/MA1CAE1200.pdf,388  In Stock,$13.54,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/MA1CAE1200?qs=sGAEpiMZZMvwyOPDUMfDH7sigmb%252BLIuxSAT4YSM%2F12c%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MA1CAE1200&utm_content=Amphenol-SINE-Systems,IP67,Couplers,Without Pin or Socket Contacts,Crimp,21
21,571-T4073014041-001,T4073014041-001,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T40730140X100X&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4073014041-001&DocFormat=pdf,"4,148  In Stock",$10.19,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4073014041-001?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4B559Ji0Cgq6dCtR8ErtTeA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4073014041-001&utm_content=TE-Connectivity,IP67,Connectors,Socket (Female),Wire,22
22,523-C09131H0081012,C091 31H008 101 2,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C09131H0081012.pdf,532  In Stock,$20.57,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C091-31H008-101-2?qs=sGAEpiMZZMvwyOPDUMfDH5eg4OqVJgayxQsPw7R3jbo%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C091%2031H008%20101%202&utm_content=Amphenol-Tuchel,IP67,Connectors,Pin (Male),Solder,23
23,651-1662528,1662528,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1662528-1427017.pdf,"3,448  In Stock",$14.55,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1662528?qs=sGAEpiMZZMvwyOPDUMfDH1P4Ate9O43P1GV9KOMyTt8%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1662528&utm_content=Phoenix-Contact,IP67,Connectors,Pin (Male),Screw,24
24,571-T4110401041-000,T4110401041-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T411040XXXX000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4110401041-000&DocFormat=pdf,523  In Stock,$6.99,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4110401041-000?qs=sGAEpiMZZMvwyOPDUMfDH5%252BOveMIjk8pC4C3dKLuo4BSWQoHgE43fw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4110401041-000&utm_content=TE-Connectivity,IP67,Connectors,Socket (Female),Screw,25
25,651-1558548,1558548,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1558548-1416385.pdf,18  In Stock,$32.88,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1558548?qs=sGAEpiMZZMvwyOPDUMfDH9jffI%2FKNUaWfkJrylWJZuY%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1558548&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,26
26,651-1436806,1436806,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1436806-1412936.pdf,44  In Stock,$63.08,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1436806?qs=sGAEpiMZZMvwyOPDUMfDH9BnlBeqUeLq6DFOgsz3IZs%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1436806&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,27
27,651-1441817,1441817,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1441817-1413336.pdf,68  In Stock,$31.40,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1441817?qs=sGAEpiMZZMvwyOPDUMfDH8m9kjzMa%2FJbJ2UKV76p70M%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1441817&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,28
28,651-1456569,1456569,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1456569-1413858.pdf,495  In Stock,$20.30,RoHS Compliant,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1456569?qs=sGAEpiMZZMvwyOPDUMfDHwf%2Fjr%252Bpen99q3Hxyqoei9PQ9G5hePn1%2Fg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1456569&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,29
29,651-1558506,1558506,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1558506-1145689.pdf,34  In Stock,$22.68,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1558506?qs=sGAEpiMZZMvwyOPDUMfDH6bJDBI1uNSEyVFPFWTfolM%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1558506&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,30
30,798-HR30-7R-12P31,HR30-7R-12P(31),Hirose Connector,https://www.mouser.com/datasheet/2/185/HR30_7R_12P_31__CL0130_1016_6_31_2DDrawing_0001292-1618147.pdf,"1,189  In Stock",$8.42,RoHS Compliant,,https://www.mouser.com/ProductDetail/Hirose-Connector/HR30-7R-12P31?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4%2FhCGWIV%252BqxH5HgsYE7jduA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HR30-7R-12P%2831%29&utm_content=Hirose-Connector,"IP67, IP68",Connectors,Pin (Male),Solder,31
31,651-1551503,1551503,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1551503-1416097.pdf,107  In Stock,$19.22,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1551503?qs=sGAEpiMZZMvwyOPDUMfDHwKOV%252B1aq8mKk0ejuxXpri4%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1551503&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,32
32,798-HR30-8P-12P71,HR30-8P-12P(71),Hirose Connector,https://www.mouser.com/datasheet/2/185/HR30_8P_12P_71__CL0130_0026_4_71_2DDrawing_0000896-1618213.pdf,"1,957  In Stock",$10.75,RoHS Compliant,,https://www.mouser.com/ProductDetail/Hirose-Connector/HR30-8P-12P71?qs=sGAEpiMZZMvwyOPDUMfDH6YG2deVKVewasSjhxdXAM4%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HR30-8P-12P%2871%29&utm_content=Hirose-Connector,"IP67, IP68",Connectors,Pin (Male),Solder,33
33,651-1441891,1441891,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1441891-1413369.pdf,447  In Stock,$22.88,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1441891?qs=sGAEpiMZZMvwyOPDUMfDH7CqPsqiLpJHzP6YVl1zoJU%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1441891&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,34
34,651-1441794,1441794,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1441794-1413420.pdf,6  In Stock,$20.47,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1441794?qs=sGAEpiMZZMvwyOPDUMfDH8m9kjzMa%2FJbdt%252BGyfcELuo%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1441794&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,35
35,523-1332M212MZ,1332M212MZ,Amphenol Air LB Germany,https://www.mouser.com/datasheet/2/18/Amphenol_04132018_1332EV212FZ-1317661.pdf,34  In Stock,$105.49,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Air-LB-Germany/1332M212MZ?qs=sGAEpiMZZMvwyOPDUMfDH5ReICh4qC7Tiwi8fE7qkgw%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1332M212MZ&utm_content=Amphenol-Air-LB-Germany,"IP66, IP67",Connectors,Pin (Male),Solder,36
36,651-1552955,1552955,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1552955-1416088.pdf,123  In Stock,$18.79,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1552955?qs=sGAEpiMZZMvwyOPDUMfDH3QFH%2F4Fm5s%252BS0bWUbGfHeM%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1552955&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Pin (Male),Solder,37
37,798-HR30-6PB-6S,HR30-6PB-6S,Hirose Connector,https://www.mouser.com/datasheet/2/185/hiros11310_1-2269620.pdf,"1,178  In Stock",$8.42,RoHS Compliant,,https://www.mouser.com/ProductDetail/Hirose-Connector/HR30-6PB-6S?qs=sGAEpiMZZMvwyOPDUMfDH%2FWV64PKc%2FFg2KMFfJnCfLQ%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HR30-6PB-6S&utm_content=Hirose-Connector,"IP67, IP68",Connectors,Socket (Female),Solder,38
38,798-HR30-7P-12S71,HR30-7P-12S(71),Hirose Connector,https://www.mouser.com/datasheet/2/185/HR30_7P_12S_71__CL0130_0027_7_71_2DDrawing_0000896-1618124.pdf,"1,366  In Stock",$11.33,RoHS Compliant,,https://www.mouser.com/ProductDetail/Hirose-Connector/HR30-7P-12S71?qs=sGAEpiMZZMvwyOPDUMfDH6YG2deVKVewshzWyJn9zdg%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HR30-7P-12S%2871%29&utm_content=Hirose-Connector,"IP67, IP68",Connectors,Socket (Female),Solder,39
39,651-1441914,1441914,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1441914-1413344.pdf,35  In Stock,$22.89,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1441914?qs=sGAEpiMZZMvwyOPDUMfDH8m9kjzMa%2FJbfRvqElidRR4%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1441914&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,40
40,798-HR30-6JB-3P,HR30-6JB-3P,Hirose Connector,https://www.mouser.com/datasheet/2/185/HR30_6JB_3P_CL0130_2029_0_00_Catalog_D49406_en-1595036.pdf,195  In Stock,$10.03,RoHS Compliant,,https://www.mouser.com/ProductDetail/Hirose-Connector/HR30-6JB-3P?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo45C8kZF%252Ba1na3lWuEP8IVAQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HR30-6JB-3P&utm_content=Hirose-Connector,"IP67, IP68",Connectors,Pin (Male),Solder,41
41,651-1419742,1419742,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1419742-1411093.pdf,69  In Stock,$18.79,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1419742?qs=sGAEpiMZZMvwyOPDUMfDH8m9kjzMa%2FJb3u92ghd5kes%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1419742&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Pin (Male),Solder,42
42,651-1556841,1556841,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1556841-1416360.pdf,75  In Stock,$18.83,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1556841?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqW22yF5nI3vcXWd53Am4ye7g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1556841&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,43
43,651-1456530,1456530,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1456530-1413836.pdf,4  In Stock,$26.57,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1456530?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqWnKQ02nipb8zqN02P9QyZaw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1456530&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Pin (Male),Solder,44
44,651-1441943,1441943,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1441943-1413371.pdf,30  In Stock,$45.05,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1441943?qs=sGAEpiMZZMvwyOPDUMfDH8m9kjzMa%2FJbPRwXDkCekbQ%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1441943&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Pin (Male),Solder,45
45,651-1551820,1551820,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1551820-1416116.pdf,161  In Stock,$17.35,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1551820?qs=sGAEpiMZZMvwyOPDUMfDH3QFH%2F4Fm5s%252BvqRLw5jw8yU%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1551820&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Pin (Male),Solder,46
46,798-HR30-6PA-3S71,HR30-6PA-3S(71),Hirose Connector,https://www.mouser.com/datasheet/2/185/HR30_6PA_3S_71__CL0130_0021_0_71_2DDrawing_0000895-1618298.pdf,"1,226  In Stock",$12.41,RoHS Compliant,,https://www.mouser.com/ProductDetail/Hirose-Connector/HR30-6PA-3S71?qs=sGAEpiMZZMvwyOPDUMfDH6YG2deVKVew5DQuPEDAwwI%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HR30-6PA-3S%2871%29&utm_content=Hirose-Connector,"IP67, IP68",Connectors,Socket (Female),Solder,47
47,651-1437119,1437119,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1437119-1412994.pdf,187  In Stock,$61.32,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1437119?qs=sGAEpiMZZMvwyOPDUMfDH9BnlBeqUeLqpmQF7o5jdIQ%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1437119&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Pin (Male),Solder,48
48,651-1558535,1558535,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1558535-1416466.pdf,20  In Stock,$30.59,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1558535?qs=sGAEpiMZZMvwyOPDUMfDH%252BEbIU3kevszQOYEEPvfLgU%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1558535&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Pin (Male),Solder,49
49,651-1419755,1419755,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1419755-1410998.pdf,101  In Stock,$19.43,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1419755?qs=sGAEpiMZZMvwyOPDUMfDH8m9kjzMa%2FJb0VKo5o7aNUI%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1419755&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Socket (Female),Solder,50
50,571-2351415-4,2351415-4,TE Connectivity,https://www.mouser.com/datasheet/2/418/8/ENG_CD_C_2351415_A-3000335.pdf,160  In Stock,$46.10,RoHS Compliant By Exemption,New Product,https://www.mouser.com/ProductDetail/TE-Connectivity/2351415-4?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6wu8ZH3eoc1CCI6g5RImtHg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2351415-4&utm_content=TE-Connectivity,IP67,Plugs,Pin (Male),Crimp,51
51,654-S500DZ1298PN,S500DZ-12-98PN,Amphenol Aerospace,https://www.mouser.com/datasheet/2/18/1/Amphenol_121621_Series_5_Catalog_2021-2888626.pdf,10  In Stock,$146.19,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-Aerospace/S500DZ-12-98PN?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6K3TGhUtWLc2Pe%2FNriPCi%252BA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=S500DZ-12-98PN&utm_content=Amphenol-Aerospace,,Receptacles,Pin (Male),,52
