I,Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,IP Rating,Product,Contact Gender,Termination Style,UID
5036,523-1331P103MZ,1331P103MZ,Amphenol Air LB Germany,https://www.mouser.com/datasheet/2/18/1/AMPHS13893_1-2536460.pdf,,$57.89,No,,https://www.mouser.com/ProductDetail/Amphenol-Air-LB-Germany/1331P103MZ?qs=sGAEpiMZZMvwyOPDUMfDHwpS8zdwKKYEMeA0Yy0DjpI%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1331P103MZ&utm_content=Amphenol-Air-LB-Germany,"IP66, IP67",Connectors,Pin (Male),Solder,513
5039,649-UTGX010E6P,UTGX010E6P,Souriau,https://www.mouser.com/datasheet/2/379/utgx0001ac-1955139.pdf,,$18.71,RoHS Compliant,,https://www.mouser.com/ProductDetail/Souriau/UTGX010E6P?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6n6XQAaSEk1oE25zzUZ54%2FeQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=UTGX010E6P&utm_content=Souriau,"IP65, IP67, IP69K",Receptacles,Pin (Male),Solder,517
5040,649-UTGX712E2P,UTGX712E2P,Souriau,https://www.mouser.com/datasheet/2/379/utgx0002ac-1955146.pdf,,$24.12,RoHS Compliant,,https://www.mouser.com/ProductDetail/Souriau/UTGX712E2P?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6n2ewr%2FukO%252BJHfWlfKyTwPPw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=UTGX712E2P&utm_content=Souriau,"IP65, IP67, IP69K",Receptacles,Pin (Male),Solder,519
5041,649-UTGX712E2S,UTGX712E2S,Souriau,https://www.mouser.com/datasheet/2/379/utgx0002ac-1955146.pdf,,$26.37,RoHS Compliant,,https://www.mouser.com/ProductDetail/Souriau/UTGX712E2S?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nRw%2FkTx5UPQYU9yMjPVeTyA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=UTGX712E2S&utm_content=Souriau,"IP65, IP67, IP69K",Receptacles,Socket (Female),Solder,519
5042,649-UTGX712E10S,UTGX712E10S,Souriau,https://www.mouser.com/datasheet/2/379/utgx0002ac-1955146.pdf,,$30.37,RoHS Compliant,,https://www.mouser.com/ProductDetail/Souriau/UTGX712E10S?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6njD7bePSs6n8zqTukgOY8bg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=UTGX712E10S&utm_content=Souriau,"IP65, IP67, IP69K",Receptacles,Socket (Female),Solder,519
5045,649-UTGX6JC14E12S,UTGX6JC14E12S,Souriau,https://www.mouser.com/datasheet/2/379/utgx0005ac-2953382.pdf,,$44.94,RoHS Compliant,,https://www.mouser.com/ProductDetail/Souriau/UTGX6JC14E12S?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nGfNXd%2FdMpb%252BjySUMq%2F0W2Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=UTGX6JC14E12S&utm_content=Souriau,"IP65, IP67, IP69K",Plug Assembly,Socket (Female),Solder,520
5062,523-C09131G1072005U,C091 31G107 200 5 U,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C09131G1072005U.pdf,50  In Stock,$9.01,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C091-31G107-200-5-U?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6BYq7Y9U6xUOFkNybN2yDcw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C091%2031G107%20200%205%20U&utm_content=Amphenol-Tuchel,IP68,Connectors,Socket (Female),Crimp,356
5063,523-C09131H0042025U,C091 31H004 202 5 U,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C09131H0042025U.pdf,41  In Stock,$15.91,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C091-31H004-202-5-U?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6yacAjwxEQK31O2BB5jBWvw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C091%2031H004%20202%205%20U&utm_content=Amphenol-Tuchel,IP68,Connectors,Pin (Male),Solder,357
5064,523-C09131G0062005U,C091 31G006 200 5 U,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C09131G0062005U.pdf,100  In Stock,$8.83,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C091-31G006-200-5-U?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6rFHpu6CZYGlJG3IFiMza9w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C091%2031G006%20200%205%20U&utm_content=Amphenol-Tuchel,IP68,Connectors,Socket (Female),Crimp,359
5065,523-C09131G0122095U,C091 31G012 209 5 U,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C09131G0122095U.pdf,47  In Stock,$14.54,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C091-31G012-209-5-U?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6aCtyOkfy%2FKsAG5jeJBgiZg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C091%2031G012%20209%205%20U&utm_content=Amphenol-Tuchel,IP68,Connectors,Socket (Female),Crimp,360
5066,523-C09131H0061025U,C091 31H006 102 5 U,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C09131H0061025U.pdf,100  In Stock,$15.91,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C091-31H006-102-5-U?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6zBkTmFF7h%2FokeNtPJuaD%252Bg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C091%2031H006%20102%205%20U&utm_content=Amphenol-Tuchel,IP68,Connectors,Pin (Male),Solder,361
